,Title,Rating,Review,Type,Headquarter,Years,Description
0,Gati kwe,4.1,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 137 more",10 years old,"Gati-KWE is an unmatched leader in Express Distribution and Supply Chain Solutions, committed to make their customers’ business always ‘Ahead in reach’ while partnering with them to elegantly customize the delivery offering.

Gati-Kintetsu Express Private Limited (Gati-KWE) is a joint venture company between Gati – India’s pioneer and leader in Express Distribution and Supply Chain Solutions and Kintetsu World Express Japan’s leading logistics provider. Following the joint venture Gati-KWE today offers an unmatched service offering that brings in local experience with global expertise. Gati-KWE is a 5500 people strong company with an annual turnover of Rs 15273 million.

An intrinsic network that spans the length and breadth of India – Gati-KWE has a reach of more than 99% of districts in India. A large fleet of more than 5000 vehicles and an assured space across 32 airline sectors ensures that your shipments are delivered in the right time at the right place.

Gati-KWE today is the most preferred Express Distribution and Supply Chain Solutions provider because of the ability to handle every distribution need. Gati-KWE offers services that are customized to the requirements, be it a Premium service – for time critical shipments or an Express Service for cost effective and direct express route connectivity. Taking a step forward, Gati-KWE’s Supply Chain Solution division offers an integrated Supply Chain services to businesses across industry verticals. Be it flexible point-to-point distribution solutions or complex end-to-end integrated logistics solutions or supply chain management, Gati-KWE does it all with great effectiveness and reliability, and enjoys the trust of a large customer base."
1,D Mart,4.0,(1.8k Reviews),Private,"Mumbai,Maharashtra + 122 more",22 years old,"DMart is a one-stop supermarket chain that aims to offer customers a wide range of basic home and personal products under one roof. Each DMart store stocks home utility products - including food, toiletries, beauty products, garments, kitchenware, bed and bath linen, home appliances and more - available at competitive prices that our customers appreciate. Our core objective is to offer customers good products at great value.

DMart was started by Mr. Radhakishan Damani and his family to address the growing needs of the Indian family. From the launch of its first store in Powai in 2002, DMart today has a well-established presence in 234 locations across Maharashtra, Gujarat, Andhra Pradesh, Madhya Pradesh, Karnataka, Telangana, Chhattisgarh, NCR, Tamil Nadu, Punjab and Rajasthan. With our mission to be the lowest priced retailer in the regions we operate, our business continues to grow with new locations planned in more cities.

The supermarket chain of DMart stores is owned and operated by Avenue Supermarts Ltd. (ASL). The company has its headquarters in Mumbai."
2,IQVIA,4.2,(1.8k Reviews),Partnership,"Danbury,Connecticut + 32 more",40 years old,"IQVIA is a world leader in using data, technology, advanced analytics, and expertise to help customers drive healthcare forward. Together with the companies we serve, we are enabling a more modern and effective healthcare system and creating breakthrough solutions that transform business and patient outcomes."
3,ICICI Lombard Gene...,3.9,(1.8k Reviews),Public,"Mumbai,Maharashtra + 167 more",21 years old,"At ICICI Lombard, customer centricity is the cornerstone of our culture. Stretching ourselves and going beyond the ordinary, for the satisfaction and smiles of our customers, is deeply embedded in our DNA. Whether our customers face an untoward incident due to the unpredictability of nature, suffer losses due to accidents or face medical challenges, we remain committed to be at their side and serve them in their hard times. The 2015 Chennai floods affected the lives of hundreds of people and caused widespread damage. In the face of such unexpected events, our team continues to work towards our goals without losing focus. Reaching out and reassuring customers by going the extra mile, reinstating normalcy as fast as possible, we remained steadfast in reducing emotional trauma and the impact of loss. Fast, fair and friendly as always, we put our customers’ needs above all. Our value proposition is driven by a promise to be the best partner for our customers. Simply put, it means providing unmatched services. This deep and unceasing commitment to our customers guides us to do things right, every time. It inspires us to evolve our services every day, from small modifications to major changes. For us, customer satisfaction is a promise to be lived every day, because our customers’ peace of mind is our greatest reward."
4,CBRE,4.2,(1.7k Reviews),Private,"Los Angeles,California + 43 more",116 years old,"Today, India is CBRE’s strategic regional hub with more than 10,000 professionals working together to provide our clients the best and most informed real estate solutions.

As the world’s largest commercial real estate services company, CBRE leverages our global perspectives and 27 years of experience in India to serve our local audience and help them achieve their real estate goals. Supported by a future-proof working environment and a cohesive corporate culture, we – “the green machine” – are here to unlock our full potential, deliver exceptional value for our clients and give back to the community. Find out more about who we are.

The guiding principle at CBRE is to provide strategic solutions that make real estate holdings more productive and economically efficient for its clients across all service lines."
5,Shoppers Stop,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,"Shoppers Stop stores have an unparalleled assortment of leading international and national brands in clothing for men, women, and kids, accessories, fragrances, cosmetics, footwear; home furnishing and decor products. The stores aim to provide shoppers a truly international shopping destination.

Shoppers Stop has experienced and professional team that follows practices and systems which are world-class. The associates are passionate about providing the customers the best shopping experience. This vision has helped Shoppers Stop to grow from a single store in 1991 to the largest chain of department stores in India today.

At Shoppers Stop the belief is in providing a fantastic shopping experience to the customers and setting benchmarks to gain success"
6,Indian Air Force,4.6,(1.7k Reviews),Private,"New Delhi,Delhi + 92 more",90 years old,The Indian Air Force is the air arm of the Indian Armed Forces. Its complement of personnel and aircraft assets ranks fourth amongst the air forces of the world. Its primary mission is to secure Indian airspace and to conduct aerial warfare during armed conflict.
7,Alembic Pharmaceut...,4.1,(1.7k Reviews),Public,"Vadodara/Baroda,Gujrat + 104 more",115 years old,"Established in 1907, Alembic Pharmaceuticals Limited is a leading pharmaceutical company in India. The Company is vertically integrated with the ability to develop, manufacture and market pharmaceutical products, pharmaceutical substances and Intermediates. Alembic is the market leader in the Macrolides segment of anti-infective drugs in India.
Alembic's manufacturing facilities are located in Vadodara and Baddi in Himachal Pradesh. The plant at Vadodara has the largest fermentation capacity in India. The Panelav facility houses the API and formulation manufacturing (both US FDA approved) plants. The plant at Baddi, Himachal Pradesh manufactures formulations for the domestic and non-regulated export market. The company has a state of the art Research Centre at Vadodara."
8,McDonald's,4.2,(1.7k Reviews),Private,"Chicago,Illinois + 106 more",67 years old,"McDonald’s is the world’s leading global foodservice retailer with over 37,000 locations in over 100 countries.  More than 90% of McDonald’s restaurants worldwide are owned and operated by independent local business men and women.
 
McDonald's & our franchisees employ 1.9 million people worldwide.

We serve the world some of its favorite foods - World Famous Fries, Big Mac, Quarter Pounder, Chicken McNuggets and Egg McMuffin"
9,SBI Life Insurance...,3.8,(1.7k Reviews),Public,"Mumbai,Maharashtra + 355 more",21 years old,SBI Life is one of the leading Life Insurance companies in India. We are a joint venture between India’s largest bank State Bank of India and the leading global insurance company BNP Paribas Cardif.
10,L&T Construction,4.0,(1.7k Reviews),Public,Chennai + 207 more,78 years old,"L&T Construction, India's largest construction organization and ranked among the world's top 30 contractors, has been over the past seven decades transforming cityscapes and landscapes with structures of immense size and grandeur. The company's capabilities span the entire gamut of construction - civil, mechanical, electrical and instrumentation engineering - and its services extend to all core sector industries and infrastructure projects.

Several of the country's prized landmarks - edifices, structures, airports, industrial projects, flyovers, viaducts, water, and power infrastructure projects carry L&T's signature of excellence in construction. Today, more and more structures beyond India's boundaries are standing tall, thanks to L&T Construction."
